customer_no,recency_days,frequency,monetary,R_bin,F_bin,M_bin,R_score,F_score,M_score,RFM_code,RFM_segment
13600,312,1,3547.16,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13601,45,2,6252.87,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13602,64,1,2992.88,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13603,26,2,6386.03,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
13604,252,1,219.05,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13606,29,3,3147.12,"(14.0, 35.0]","(2.0, 3.0]","(1491.454, 3327.398]",4,2,2,422,Potential Loyalist
13607,40,1,3661.14,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13610,12,7,6088.93,"(-0.001, 14.0]","(5.0, 207.0]","(3327.398, 6838.912]",5,4,3,543,Loyal
13611,89,3,9052.3,"(75.0, 185.0]","(2.0, 3.0]","(6838.912, 14660.55]",2,2,4,224,About to Sleep
13612,4,1,5521.15,"(-0.001, 14.0]","(0.999, 2.0]","(3327.398, 6838.912]",5,1,3,513,Lost
13614,24,4,7492.4,"(14.0, 35.0]","(3.0, 5.0]","(6838.912, 14660.55]",4,3,4,434,Lost
13615,318,1,2316.02,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13617,40,3,3632.36,"(35.0, 75.0]","(2.0, 3.0]","(3327.398, 6838.912]",3,2,3,323,Needs Attention
13618,173,1,2702.9,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13621,116,1,3734.88,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13623,30,5,3767.28,"(14.0, 35.0]","(3.0, 5.0]","(3327.398, 6838.912]",4,3,3,433,Potential Loyalist
13626,252,1,2406.02,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13627,59,5,14686.55,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
13629,23,11,30492.24,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13630,5,7,15566.72,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13631,99,11,7933.28,"(75.0, 185.0]","(5.0, 207.0]","(6838.912, 14660.55]",2,4,4,244,Lost
13632,24,5,12526.99,"(14.0, 35.0]","(3.0, 5.0]","(6838.912, 14660.55]",4,3,4,434,Lost
13634,33,5,8551.72,"(14.0, 35.0]","(3.0, 5.0]","(6838.912, 14660.55]",4,3,4,434,Lost
13635,67,1,7967.49,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
13636,36,6,13019.95,"(35.0, 75.0]","(5.0, 207.0]","(6838.912, 14660.55]",3,4,4,344,Loyal
13637,52,3,4618.38,"(35.0, 75.0]","(2.0, 3.0]","(3327.398, 6838.912]",3,2,3,323,Needs Attention
13638,15,1,575.67,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
13639,74,1,9258.5,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
13640,234,1,38.07,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13641,367,1,2401.87,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13642,215,1,2124.84,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13643,31,4,2573.45,"(14.0, 35.0]","(3.0, 5.0]","(1491.454, 3327.398]",4,3,2,432,Potential Loyalist
13644,16,4,21144.07,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
13645,120,1,1877.86,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13647,9,4,8731.2,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
13648,269,1,5875.95,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13649,256,3,2753.79,"(185.0, 373.0]","(2.0, 3.0]","(1491.454, 3327.398]",1,2,2,122,Hibernating
13650,16,6,9847.57,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
13651,39,2,1213.33,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13652,45,3,6927.07,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
13653,198,1,60.14,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13654,43,7,25071.95,"(35.0, 75.0]","(5.0, 207.0]","(14660.55, 2112282.03]",3,4,5,345,Loyal
13655,114,2,6857.96,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13656,164,2,5291.66,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13657,10,2,1974.52,"(-0.001, 14.0]","(0.999, 2.0]","(1491.454, 3327.398]",5,1,2,512,Lost
13658,9,5,10373.48,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
13659,205,2,10715.38,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
13660,301,1,4111.8,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13662,85,4,7395.17,"(75.0, 185.0]","(3.0, 5.0]","(6838.912, 14660.55]",2,3,4,234,Lost
13663,179,1,1126.96,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13666,60,4,16581.05,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
13667,149,1,1891.03,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13668,2,21,42658.09,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13669,50,2,2653.04,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13670,75,2,4541.82,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13672,213,3,1852.25,"(185.0, 373.0]","(2.0, 3.0]","(1491.454, 3327.398]",1,2,2,122,Hibernating
13673,18,2,1626.42,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
13674,79,1,22.24,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13675,151,2,3881.14,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13678,151,1,9707.6,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13680,1,4,19368.73,"(-0.001, 14.0]","(3.0, 5.0]","(14660.55, 2112282.03]",5,3,5,535,Lost
13681,17,5,5673.52,"(14.0, 35.0]","(3.0, 5.0]","(3327.398, 6838.912]",4,3,3,433,Potential Loyalist
13682,187,1,163.52,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13684,285,1,468.61,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13685,2,8,51381.95,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13686,182,1,791.2,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13687,113,1,30.95,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13689,63,2,4322.75,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13690,59,1,863.2,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13691,133,1,249.9,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13692,24,3,14090.79,"(14.0, 35.0]","(2.0, 3.0]","(6838.912, 14660.55]",4,2,4,424,Lost
13694,3,51,646116.78,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13695,31,15,18894.39,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13697,38,1,1969.32,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13699,155,1,992.76,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13700,26,10,25936.34,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13703,318,1,204.5,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13704,5,9,17522.69,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13705,7,3,3739.41,"(-0.001, 14.0]","(2.0, 3.0]","(3327.398, 6838.912]",5,2,3,523,Potential Loyalist
13706,302,1,2276.31,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13707,267,2,4424.22,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13708,271,1,3333.08,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13709,3,13,40338.64,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13710,31,1,1988.72,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
13711,218,2,1693.32,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13712,246,1,3842.82,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13713,212,1,60.31,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13714,277,1,1071.76,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13715,281,5,6501.64,"(185.0, 373.0]","(3.0, 5.0]","(3327.398, 6838.912]",1,3,3,133,Lost
13716,72,2,5507.2,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13717,32,7,26411.5,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13718,246,2,2087.28,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13719,15,6,14928.81,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13720,116,4,5905.77,"(75.0, 185.0]","(3.0, 5.0]","(3327.398, 6838.912]",2,3,3,233,Needs Attention
13721,36,1,3776.05,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13722,131,3,16069.5,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
13723,217,1,645.54,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13725,49,9,18889.1,"(35.0, 75.0]","(5.0, 207.0]","(14660.55, 2112282.03]",3,4,5,345,Loyal
13726,38,2,11849.18,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
13727,28,2,2002.15,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
13728,36,6,5735.32,"(35.0, 75.0]","(5.0, 207.0]","(3327.398, 6838.912]",3,4,3,343,Loyal
13730,135,2,5713.42,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13731,219,2,3474.97,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13732,28,1,5607.86,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
13735,24,5,15611.4,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
13736,5,2,4374.55,"(-0.001, 14.0]","(0.999, 2.0]","(3327.398, 6838.912]",5,1,3,513,Lost
13737,200,1,1629.12,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13739,18,1,775.62,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
13740,240,1,4715.73,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13741,71,3,2919.33,"(35.0, 75.0]","(2.0, 3.0]","(1491.454, 3327.398]",3,2,2,322,Needs Attention
13742,16,12,13886.38,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
13743,2,8,18820.77,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13744,95,2,13987.42,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13745,162,1,5391.32,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13746,14,2,9072.8,"(-0.001, 14.0]","(0.999, 2.0]","(6838.912, 14660.55]",5,1,4,514,Lost
13747,353,2,390.75,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13748,95,5,5470.82,"(75.0, 185.0]","(3.0, 5.0]","(3327.398, 6838.912]",2,3,3,233,Needs Attention
13750,53,6,54837.85,"(35.0, 75.0]","(5.0, 207.0]","(14660.55, 2112282.03]",3,4,5,345,Loyal
13751,288,2,1296.44,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13752,124,6,10154.0,"(75.0, 185.0]","(5.0, 207.0]","(6838.912, 14660.55]",2,4,4,244,Lost
13753,287,1,6007.46,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13754,3,3,9519.51,"(-0.001, 14.0]","(2.0, 3.0]","(6838.912, 14660.55]",5,2,4,524,Lost
13755,3,10,15927.96,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13756,2,14,35456.83,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13758,11,7,20124.51,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13759,33,2,3617.16,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
13760,54,2,2313.1,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13761,50,3,7261.91,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
13762,218,1,3102.72,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13763,63,1,9219.76,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
13764,70,3,10709.77,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
13766,204,1,1651.31,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13767,2,39,98939.8,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13768,18,1,16127.5,"(14.0, 35.0]","(0.999, 2.0]","(14660.55, 2112282.03]",4,1,5,415,Lost
13769,2,10,13953.19,"(-0.001, 14.0]","(5.0, 207.0]","(6838.912, 14660.55]",5,4,4,544,Champions
13771,64,4,17478.03,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
13772,33,3,6406.63,"(14.0, 35.0]","(2.0, 3.0]","(3327.398, 6838.912]",4,2,3,423,Potential Loyalist
13773,289,1,15.02,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13774,81,1,2321.35,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13775,142,1,11.53,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13777,0,34,150785.02,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13778,103,3,1711.88,"(75.0, 185.0]","(2.0, 3.0]","(1491.454, 3327.398]",2,2,2,222,Needs Attention
13780,7,4,2926.61,"(-0.001, 14.0]","(3.0, 5.0]","(1491.454, 3327.398]",5,3,2,532,Potential Loyalist
13781,250,1,438.48,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13782,12,6,4170.63,"(-0.001, 14.0]","(5.0, 207.0]","(3327.398, 6838.912]",5,4,3,543,Loyal
13784,9,11,27892.46,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13785,101,1,79.01,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13786,367,1,1629.92,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13787,75,2,3770.33,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13790,4,1,4579.84,"(-0.001, 14.0]","(0.999, 2.0]","(3327.398, 6838.912]",5,1,3,513,Lost
13791,127,2,9126.0,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13792,66,2,1143.31,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13798,1,57,248927.53,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13799,116,3,4942.19,"(75.0, 185.0]","(2.0, 3.0]","(3327.398, 6838.912]",2,2,3,223,Needs Attention
13800,309,1,3964.64,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
13801,66,1,2054.58,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13802,138,3,25749.8,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
13803,255,1,1524.14,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13804,30,7,18055.27,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13805,52,2,20420.4,"(35.0, 75.0]","(0.999, 2.0]","(14660.55, 2112282.03]",3,1,5,315,Lost
13806,63,1,836.74,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13807,367,1,484.38,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13808,5,5,8921.78,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
13809,305,1,456.12,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13810,28,2,3994.81,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
13811,183,2,1178.73,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13812,42,4,11041.64,"(35.0, 75.0]","(3.0, 5.0]","(6838.912, 14660.55]",3,3,4,334,Lost
13813,39,4,6546.59,"(35.0, 75.0]","(3.0, 5.0]","(3327.398, 6838.912]",3,3,3,333,Needs Attention
13814,92,2,10473.44,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13815,22,4,27392.05,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
13816,23,2,3228.18,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
13817,29,2,2345.98,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
13819,301,3,11515.72,"(185.0, 373.0]","(2.0, 3.0]","(6838.912, 14660.55]",1,2,4,124,Hibernating
13821,144,2,1777.87,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13822,5,2,6354.81,"(-0.001, 14.0]","(0.999, 2.0]","(3327.398, 6838.912]",5,1,3,513,Lost
13823,18,2,5480.74,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
13824,32,5,8956.25,"(14.0, 35.0]","(3.0, 5.0]","(6838.912, 14660.55]",4,3,4,434,Lost
13825,352,1,34.87,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13826,176,2,3163.12,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
13827,57,3,1867.47,"(35.0, 75.0]","(2.0, 3.0]","(1491.454, 3327.398]",3,2,2,322,Needs Attention
13828,22,3,3921.11,"(14.0, 35.0]","(2.0, 3.0]","(3327.398, 6838.912]",4,2,3,423,Potential Loyalist
13831,16,6,9101.84,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
13832,19,2,17632.22,"(14.0, 35.0]","(0.999, 2.0]","(14660.55, 2112282.03]",4,1,5,415,Lost
13833,14,2,7387.6,"(-0.001, 14.0]","(0.999, 2.0]","(6838.912, 14660.55]",5,1,4,514,Lost
13835,25,6,10333.31,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
13837,211,2,2116.37,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13838,5,4,2785.96,"(-0.001, 14.0]","(3.0, 5.0]","(1491.454, 3327.398]",5,3,2,532,Potential Loyalist
13839,352,1,26.34,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
13841,101,2,6867.86,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13842,14,10,21479.72,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13844,11,1,1213.24,"(-0.001, 14.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",5,1,1,511,Lost
13845,64,1,2185.94,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
13846,24,3,4863.36,"(14.0, 35.0]","(2.0, 3.0]","(3327.398, 6838.912]",4,2,3,423,Potential Loyalist
13847,101,1,95.72,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13848,92,3,39218.0,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
13849,51,2,11748.54,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
13850,129,1,10082.46,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
13851,95,3,20194.78,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
13853,57,1,4191.06,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13854,8,25,30706.24,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13856,168,3,5462.42,"(75.0, 185.0]","(2.0, 3.0]","(3327.398, 6838.912]",2,2,3,223,Needs Attention
13857,204,1,1735.48,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13858,57,1,990.23,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13859,326,1,1528.3,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13860,1,5,5269.3,"(-0.001, 14.0]","(3.0, 5.0]","(3327.398, 6838.912]",5,3,3,533,Potential Loyalist
13862,18,9,18764.93,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13863,247,1,2543.92,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13864,158,1,5233.44,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
13865,58,6,8217.03,"(35.0, 75.0]","(5.0, 207.0]","(6838.912, 14660.55]",3,4,4,344,Loyal
13866,74,1,733.42,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13867,31,3,5924.85,"(14.0, 35.0]","(2.0, 3.0]","(3327.398, 6838.912]",4,2,3,423,Potential Loyalist
13868,7,2,14315.02,"(-0.001, 14.0]","(0.999, 2.0]","(6838.912, 14660.55]",5,1,4,514,Lost
13869,123,5,24346.91,"(75.0, 185.0]","(3.0, 5.0]","(14660.55, 2112282.03]",2,3,5,235,Lost
13870,2,8,15732.68,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13871,22,15,36406.34,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13873,119,3,1834.34,"(75.0, 185.0]","(2.0, 3.0]","(1491.454, 3327.398]",2,2,2,222,Needs Attention
13874,358,1,2398.74,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
13875,53,5,14111.67,"(35.0, 75.0]","(3.0, 5.0]","(6838.912, 14660.55]",3,3,4,334,Lost
13876,63,1,494.72,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
13877,86,1,1227.6,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
13878,54,1,6181.96,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
13880,21,13,22000.28,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
13881,3,20,111928.38,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
13882,2,5,8586.57,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
